run_id,timestep,total_units_sold,total_demand,total_inventory,total_supply_available,min_price,max_price,shock_active,total_unmet_demand,average_price,transaction_count
685cfc1f-36da-4950-8d6a-19de6ba82169,76,180,180,3527.58,3707.58,90,542.17,True,249,132.639534883721,43
685cfc1f-36da-4950-8d6a-19de6ba82169,77,195,195,3521.26,3716.26,90,2422.65,True,231,131.0355555555556,45
685cfc1f-36da-4950-8d6a-19de6ba82169,78,85,85,3624.94,3709.94,90,2228.84,True,285,142.8772,25
685cfc1f-36da-4950-8d6a-19de6ba82169,79,120,120,3693.62,3813.62,90,2050.53,True,250,138.70967741935482,31
685cfc1f-36da-4950-8d6a-19de6ba82169,80,200,200,3682.3,3882.3,90,1886.49,True,224,134.2356521739131,46
685cfc1f-36da-4950-8d6a-19de6ba82169,81,178,178,3692.9800000000005,3870.9800000000005,90,1735.57,True,227,131.96317073170732,41
685cfc1f-36da-4950-8d6a-19de6ba82169,82,186,186,3695.6600000000003,3881.6600000000003,90,1596.72,True,244,133.04136363636368,44
685cfc1f-36da-4950-8d6a-19de6ba82169,83,205,205,3679.34,3884.34,90,1468.98,True,210,130.15489361702126,47
685cfc1f-36da-4950-8d6a-19de6ba82169,84,148,148,3709.0200000000004,3857.0200000000004,90,1351.46,True,244,135.04638888888886,36
685cfc1f-36da-4950-8d6a-19de6ba82169,85,127,127,3766.7000000000007,3893.7000000000007,90,1243.34,True,283,137.6312903225806,31
685cfc1f-36da-4950-8d6a-19de6ba82169,86,133,133,3822.3800000000006,3955.3800000000006,90,1143.87,True,312,138.85166666666666,30
685cfc1f-36da-4950-8d6a-19de6ba82169,87,143,143,3867.0600000000004,4010.0600000000004,90,1052.36,True,247,135.88611111111106,36
685cfc1f-36da-4950-8d6a-19de6ba82169,88,169,169,3886.7400000000007,4055.7400000000007,90,968.17,True,253,133.5363636363637,44
685cfc1f-36da-4950-8d6a-19de6ba82169,89,170,170,3881.420000000001,4051.420000000001,90,890.72,True,220,135.32146341463414,41
685cfc1f-36da-4950-8d6a-19de6ba82169,90,175,175,3889.100000000001,4064.100000000001,90,819.46,True,229,131.21452380952383,42
685cfc1f-36da-4950-8d6a-19de6ba82169,91,173,173,3883.7800000000007,4056.7800000000007,90,753.9,True,232,131.42534883720936,43
685cfc1f-36da-4950-8d6a-19de6ba82169,92,214,214,3833.460000000001,4047.460000000001,90,693.59,True,239,132.02688888888892,45
685cfc1f-36da-4950-8d6a-19de6ba82169,93,170,170,3852.1400000000012,4022.1400000000012,90,638.1,True,230,133.37095238095247,42
