t,price,total_supply,total_demand,shock_active
58,97.35139657331017,339.4223212711586,365.52341318941023,True
59,97.69631446490533,340.72988800658555,364.8314694000868,True
60,96.46132055996287,488.4815723245266,364.19495322853527,False
61,95.31002377458209,482.30660279981436,366.48435322933983,False
62,94.23705460600061,476.55011887291045,368.6446737782343,False
63,93.23735301971297,471.18527303000303,370.68107393848265,False
64,92.30615438761188,466.1867650985648,372.5987697246865,False
65,91.43897569810106,461.5307719380594,374.40299416979104,False
66,90.63160206338507,457.1948784905053,376.0989617576301,False
67,89.88007354825876,453.15801031692536,377.6918371386292,False
68,89.18067234314506,449.40036774129385,379.18670798124015,False
69,88.52991030201899,445.9033617157253,380.58856176070094,False
70,87.92451686335126,442.649551510095,381.9022662486724,False
71,87.36142736943684,439.6225843167563,383.1325534408828,False
72,86.83777179655576,436.8071368471842,384.28400664364784,False
73,86.35086390544602,434.1888589827788,385.36105043256185,False
74,85.89819081863172,431.7543195272301,386.3679431962957,False
75,85.47740302831247,429.4909540931586,387.30877198393785,False
76,85.08630483583421,427.3870151415623,388.18744938438374,False
77,84.72284522126499,425.43152417917105,389.007712179795,False
78,84.38510913932045,423.61422610632496,389.7731215311071,False
79,84.07130923583789,421.9255456966022,390.4870644711183,False
80,83.77977797719375,420.3565461791894,391.15275649912047,False
81,83.50896018349724,418.89888988596874,391.7732450897557,False
82,83.25740595506737,417.5448009174862,392.3514139473331,False
83,83.023763980603,416.28702977533686,392.8899878548624,False
84,82.80677521457119,415.118819903015,393.391537984273,False
85,82.60526691065492,414.03387607285595,393.85848755052615,False
86,82.41814699759779,413.0263345532746,394.2931177074326,False
87,82.24439878344604,412.090734987989,394.6975735969303,False
88,82.0830759739966,411.22199391723024,395.07387047628725,False
89,81.93329799119863,410.415379869983,395.42389985921795,False
90,81.79424557730773,409.66648995599314,395.74943561723995,False
91,81.66515667073952,408.97122788653866,396.05213999681916,False
92,81.54532253980044,408.3257833536976,396.3335695160134,False
93,81.43408416077186,407.72661269900226,396.59518071150165,False
94,81.33082882717851,407.1704208038594,396.83833571314835,False
95,81.23498697747124,406.6541441358925,397.0643076286892,False
96,81.14602922878832,406.17493488735624,397.27428572580254,False
97,81.06346360491892,405.7301461439417,397.4693804028332,False
98,80.98683294706976,405.3173180245946,397.6506279428314,False
99,80.91571249652488,404.93416473534876,397.8189950484224,False
100,80.84970763878233,404.57856248262436,397.97538315740826,False
101,80.78845179924608,404.2485381939117,398.12063254096154,False
102,80.73160448104191,403.9422589962304,398.2555261878749,False
103,80.67884943601025,403.6580224052096,398.3807934796071,False
104,80.62989296040163,403.39424718005125,398.49711366188296,False
105,80.58446230726244,403.1494648020082,398.6051191193703,False
106,80.54230420794555,402.92231153631224,398.70539846054317,False
107,80.50318349561257,402.71152103972776,398.79849942023355,False
108,80.46688182400986,402.5159174780629,398.8849315876475,False
109,80.433196475199,402.3344091200493,398.9651689677551,False
110,80.40193925030383,402.165982375995,399.0396523840145,False
111,80.37293543769913,402.00969625151913,399.1087917303458,False
112,80.34602285341235,401.86467718849565,399.17296808017426,False
113,80.32105094883802,401.73011426706177,399.23253566019895,False
